rum	341.0	449.0	0.008125324	144.0	3.0	31.0
berry	493.0	241.0	0.003967065	255.0	255.0	0.0
cucumber	557.0	625.0	0.044460062	0.0	131.0	61.0
zucchini	169.0	344.0	0.02480472	0.0	131.0	61.0
marjoram	703.0	94.0	0.01115124	153.0	243.0	77.0
lettuce	313.0	334.0	0.027170202	0.0	131.0	61.0
roasted meat	696.0	440.0	3.3998213E-4	230.0	0.0	0.0
litchi	273.0	243.0	3.1424785E-4	255.0	255.0	0.0
passion fruit	441.36618	289.82834	0.0014602243	255.0	255.0	0.0
horseradish	867.0	587.0	0.007948041	131.0	129.0	23.0
sassafras	398.0	93.0	4.3347382E-4	131.0	129.0	23.0
sour milk	182.0	521.0	7.1325124E-4	255.0	255.0	255.0
port wine	340.0	387.0	0.004784128	144.0	3.0	31.0
ginger	622.0	174.0	0.14214784	240.0	172.0	21.0
bean	783.0	605.0	0.040825266	0.0	131.0	61.0
seed	608.0	99.0	0.04068693	209.0	187.0	199.0
huckleberry	480.0	267.0	2.2798567E-4	255.0	255.0	0.0
holy basil	230.0	209.0	0.0043763677	153.0	243.0	77.0
peanut butter	664.0	522.0	0.022207731	131.0	129.0	23.0
cumin	658.0	91.0	0.17223796	240.0	172.0	21.0
sour cherry	327.0	277.0	0.0022225638	255.0	255.0	0.0
smoked fish	652.0	671.0	1.4449126E-4	124.0	169.0	255.0
cherry brandy	453.49976	344.8553	0.0038270724	144.0	3.0	31.0
lentil	638.0	571.0	0.012900089	209.0	187.0	199.0
bourbon whiskey	296.0	469.0	0.0020757152	144.0	3.0	31.0
mung bean	757.0	555.0	0.003443047	0.0	131.0	61.0
banana	384.0	291.0	0.009072745	255.0	255.0	0.0
cilantro	664.0	399.0	0.11831748	153.0	243.0	77.0
barley	867.0	424.0	0.005345077	255.0	234.0	214.0
jasmine tea	611.0	330.0	2.4081879E-5	131.0	129.0	23.0
cod	683.0	667.0	0.0065600625	124.0	169.0	255.0
cocoa	546.0	393.0	0.03596079	131.0	129.0	23.0
parmesan cheese	418.0	481.0	0.03771922	255.0	255.0	255.0
nut	270.0	679.0	0.023404373	209.0	187.0	199.0
grape brandy	277.0	372.0	0.0019138756	144.0	3.0	31.0
black mustard seed oil	220.0	297.0	0.020164948	131.0	129.0	23.0
thai pepper	711.0	201.0	0.012622248	240.0	172.0	21.0
baked potato	738.0	517.0	2.677365E-4	0.0	131.0	61.0
mate	714.0	280.0	2.4081879E-5	131.0	129.0	23.0
cashew	314.0	642.0	0.008079332	209.0	187.0	199.0
pear	322.0	311.0	0.0098483	255.0	255.0	0.0
ham	801.0	450.0	0.019130481	230.0	0.0	0.0
pimenta	563.0	71.0	4.784689E-4	240.0	172.0	21.0
catfish	641.0	625.0	0.0022292552	124.0	169.0	255.0
yogurt	566.0	652.0	0.038839597	255.0	255.0	255.0
nira	829.0	606.0	0.008697675	0.0	131.0	61.0
roasted sesame seed	513.0	327.0	0.028501095	209.0	187.0	199.0
root	534.0	549.0	0.0052028843	255.0	118.0	51.0
